city,city_code,config,status,mae,mse,rmse,r2,smape,n_predictions,n_windows,pred_path,metrics_path,error
Campo Grande,5002704,config_1_tweedie_high_horizon,success,0.2818276640563566,0.153295271287023,0.3915294002843503,-0.1422285422795384,71.49716734157484,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\5002704_Campo_Grande.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\5002704_Campo_Grande.json,
Campo Grande,5002704,config_2_mae_moderate_horizon,success,0.24488639274327123,0.11844029782426196,0.3441515622865338,0.11748165748923811,68.24417550170611,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\5002704_Campo_Grande.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\5002704_Campo_Grande.json,
Campo Grande,5002704,config_3_mae_simple_horizon,success,0.3394635701776858,0.20721796132600848,0.45521199602603674,-0.5440154670940665,121.34583741949156,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\5002704_Campo_Grande.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\5002704_Campo_Grande.json,
Cuiabá,5103403,config_1_tweedie_high_horizon,success,0.047768524989550906,0.003479124442063633,0.05898410329964874,-0.6524903624913934,71.61374832657212,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\5103403_Cuiabá.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\5103403_Cuiabá.json,
Cuiabá,5103403,config_2_mae_moderate_horizon,success,0.04217230540876467,0.0029559597540125067,0.054368738756867506,-0.40400123271266297,70.02497094064407,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\5103403_Cuiabá.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\5103403_Cuiabá.json,
Cuiabá,5103403,config_3_mae_simple_horizon,success,0.04822496454584023,0.004598922218792819,0.06781535385731478,-1.1843641326882062,90.28804907489312,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\5103403_Cuiabá.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\5103403_Cuiabá.json,
Curitiba,4106902,config_1_tweedie_high_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
Curitiba,4106902,config_2_mae_moderate_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
Curitiba,4106902,config_3_mae_simple_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
Florianópolis,4205407,config_1_tweedie_high_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
Florianópolis,4205407,config_2_mae_moderate_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
Florianópolis,4205407,config_3_mae_simple_horizon,failed,,,,,,,,,,Training window extends before the start of the dataset
